שם ישוב,סמל ישוב,אשכול,דירוג,ערך,אוכלסייה
חמאם,993,3,224,-0.772,"1,410"
עוזייר,528,3,459,-0.386,"3,047"
רומאנה,539,3,490,-0.322,"1,129"
רומת הייב,997,3,537,-0.233,"1,882"
כחלה,1367,3,165,-0.925,145
דריג'את,1349,3,166,-0.916,"1,065"
מכחול,1343,3,178,-0.892,395
מולדה,1360,3,249,-0.738,295
אל סייד,1359,3,343,-0.550,"3,384"
אום בטין,1358,3,363,-0.520,"3,080"
תרבין א-צאנע (יישוב),1346,3,409,-0.457,437
עמיקם,773,5,701,0.045,707
"גבעת ניל""י",360,5,725,0.080,733
אביאל,679,5,729,0.086,817
בני נצרים,1363,3,111,-1.061,544
שלומית,1364,3,115,-1.046,201
נווה,1366,3,127,-1.017,"1,066"
פרי גן,1231,3,128,-1.010,226
כרם שלום,1085,3,130,-1.005,119
תלמי יוסף,1237,3,131,-1.004,304
יבול,1232,3,133,-0.997,350
דקל,1241,3,137,-0.986,311
אבשלום,1311,3,139,-0.978,258
יתד,1227,3,148,-0.958,326
שדי אברהם,1223,3,151,-0.955,341
סופה,1238,3,155,-0.947,234
חולית,1239,3,158,-0.940,147
גבולות,352,3,169,-0.908,299
צאלים,413,3,171,-0.907,441
ניר יצחק,402,3,176,-0.900,628
תלמי אליהו,1051,3,180,-0.890,303
שדה ניצן,1058,3,182,-0.888,318
אוהד,1046,3,186,-0.878,404
צוחר,1136,3,187,-0.872,419
מבטחים,829,3,191,-0.854,406
עמיעוז,318,3,193,-0.851,196
ישע,916,3,195,-0.846,368
עין הבשור,1240,3,220,-0.778,"1,127"
ניר עוז,69,3,226,-0.770,395
מגן,695,3,230,-0.761,551
נירים,602,3,243,-0.745,357
אורים,403,3,255,-0.730,470
כיסופים,840,3,259,-0.722,235
עין השלושה,676,3,260,-0.719,372
רעים,713,3,311,-0.611,403
בארי,399,3,358,-0.524,996
ניר בנים,553,5,778,0.204,705
תימורים,163,5,845,0.383,775
אביגדור,819,5,852,0.395,763
כפר ורבורג,320,5,853,0.398,"1,130"
אורות,2012,5,870,0.446,498
ערוגות,593,5,872,0.459,"1,124"
גבעתי,793,5,876,0.477,955
באר טוביה,155,5,880,0.481,"1,030"
כפר אחים,690,5,884,0.490,795
ינון,2011,5,890,0.505,"1,116"
חצור-אשדוד,406,5,892,0.515,556
תלמי יחיאל,727,5,893,0.516,978
בית עזרא,756,5,905,0.545,"1,090"
עזר,1149,5,909,0.559,837
אחווה,1157,5,910,0.561,235
עזריקם,817,5,923,0.594,"1,377"
אמונים,772,5,924,0.595,934
נווה מבטח,827,5,927,0.603,642
כנות,2006,5,940,0.639,355
חצב,700,5,957,0.684,"1,404"
ביצרון,234,5,962,0.691,"1,221"
שדה עוזיהו,739,5,975,0.729,"1,465"
שתולים,763,5,1002,0.807,"1,975"
כפר מצר,512,4,380,-0.493,"2,595"
דחי,475,4,529,-0.248,636
ניין,523,4,530,-0.247,"1,766"
סולם,526,4,542,-0.217,"2,467"
נבטים,396,3,301,-0.640,825
כרמים,1198,3,340,-0.556,391
חצרים,397,3,354,-0.528,786
שומרייה,1265,3,356,-0.526,623
להב,2023,3,392,-0.481,469
תאשור,2062,3,394,-0.476,411
ברוש,2060,3,406,-0.462,439
תדהר,2061,3,418,-0.441,534
גבעות בר,1344,3,434,-0.411,815
דבירה,849,3,442,-0.400,797
משמר הנגב,395,3,457,-0.386,868
בית קמה,598,3,516,-0.283,"1,356"
שובל,394,3,560,-0.179,640
קדרון,615,7,1004,0.811,"1,560"
בניה,685,7,1018,0.850,792
בית אלעזרי,562,7,1081,1.105,"1,494"
גבעת ברנר,147,7,1118,1.438,"2,617"
גן שלמה,144,7,1149,1.717,518
גיבתון,196,7,1160,1.872,327
גן הדרום,1072,6,991,0.762,563
כפר אביב,857,6,993,0.771,804
מישר,731,6,997,0.794,804
כפר מרדכי,764,6,1001,0.805,655
משגב דב,765,6,1013,0.840,666
עשרת,591,6,1017,0.849,970
שדמה,555,6,1020,0.856,604
"נווה אטי""ב",4303,2,22,-1.532,124
אודם,4010,2,28,-1.496,118
אל-רום,4003,2,31,-1.478,338
מרום גולן,4101,2,39,-1.425,675
אלוני הבשן,4017,2,44,-1.386,368
שעל,4009,2,45,-1.384,256
עין זיוון,4503,2,47,-1.379,280
אורטל,4013,2,51,-1.365,321
קלע,4024,2,52,-1.361,224
יונתן,4007,2,56,-1.336,601
קשת,4006,2,61,-1.317,763
נטור,4014,2,62,-1.309,567
אניעם,4012,2,67,-1.287,503
קדמת צבי,4025,2,70,-1.263,359
חספין,4005,2,74,-1.244,"1,739"
רמת מגשימים,4701,2,77,-1.242,637
נוב,4304,2,79,-1.230,858
כנף,4028,2,82,-1.207,419
אבני איתן,4011,2,83,-1.207,633
אלי-עד,4002,2,84,-1.185,350
גשור,4022,2,86,-1.181,264
מיצר,4019,2,88,-1.163,211
גבעת יואב,4021,2,89,-1.162,662
בני יהודה,4015,2,90,-1.157,"1,040"
נאות גולן,4551,2,94,-1.142,534
מעלה גמלא,4008,2,96,-1.134,441
אפיק,4301,2,97,-1.119,277
רמות,4702,2,103,-1.094,489
חד-נס,4026,2,105,-1.086,827
כפר חרוב,4004,2,108,-1.081,357
מבוא חמה,4204,2,117,-1.042,344
אספר,3754,4,377,-0.496,583
מעלה עמוס,3653,4,460,-0.386,384
כרמי צור,3766,4,512,-0.287,"1,036"
נוקדים,3726,4,564,-0.174,"1,937"
תקוע,3563,4,574,-0.157,"3,495"
ראש צורים,3602,4,628,-0.083,915
בת עין,3794,4,629,-0.082,"1,226"
כפר עציון,3488,4,655,-0.046,"1,071"
מגדל עוז,3561,4,659,-0.038,439
אלון שבות,3604,4,672,-0.022,"3,218"
נווה דניאל,3725,4,686,0.009,"2,275"
אלעזר,3618,4,688,0.014,"2,577"
הר גילה,3603,4,707,0.051,"1,505"
קדר,3781,4,735,0.100,"1,490"
משמר דוד,563,7,967,0.696,700
כרמי יוסף,1264,7,981,0.739,"1,674"
חולדה,160,7,1011,0.835,913
כפר בן נון,2010,7,1015,0.847,647
פדיה,838,7,1034,0.897,806
שעלבים,856,7,1036,0.901,"1,764"
נוף איילון,1333,7,1037,0.904,"2,129"
פתחיה,839,7,1040,0.912,890
גזר,370,7,1047,0.933,273
משמר איילון,670,7,1054,0.992,514
בית עוזיאל,301,7,1057,1.008,599
כפר שמואל,743,7,1061,1.033,864
יציץ,759,7,1064,1.040,770
בית חשמונאי,1050,7,1065,1.043,"2,171"
עזריה,711,7,1082,1.117,"1,193"
גני יוחנן,862,7,1084,1.124,618
רמות מאיר,735,7,1094,1.217,770
נען,158,7,1098,1.252,"1,532"
גני הדר,1103,7,1102,1.272,278
"יד רמב""ם",64,7,1106,1.290,"1,044"
סתרייה,610,7,1134,1.547,"1,022"
"כפר ביל""ו",177,7,1136,1.585,"1,254"
מצליח,757,7,1139,1.603,"1,302"
ישרש,828,7,1141,1.646,922
נצר סרני,435,7,1162,1.915,718
פלמחים,597,7,1071,1.065,604
